name,weighted_score,available,dns_status,growth_link,category
anchornect,5.0,True,likely_available,True,growth_connection
apexnect,5.0,True,likely_available,True,growth_connection
bloomlynk,5.0,True,likely_available,True,growth_connection
bloomnect,5.0,True,likely_available,True,growth_connection
boldlynk,5.0,True,likely_available,True,growth_connection
boldnect,5.0,True,likely_available,True,growth_connection
boostnect,5.0,True,likely_available,True,growth_connection
bravelynk,5.0,True,likely_available,True,growth_connection
bravenect,5.0,True,likely_available,True,growth_connection
brightnect,5.0,True,likely_available,True,growth_connection
catalymesh,5.0,True,likely_available,True,growth_connection
catalynect,5.0,True,likely_available,True,growth_connection
createlynk,5.0,True,likely_available,True,blend
creatlynk,5.0,True,likely_available,True,blend
creatorlynk,5.0,True,likely_available,True,audience_connection
dashnect,5.0,True,likely_available,True,growth_connection
elevalynk,5.0,True,likely_available,True,blend
elevlynk,5.0,True,likely_available,True,growth_connection
elevmesh,5.0,True,likely_available,True,growth_connection
elevnect,5.0,True,likely_available,True,growth_connection
flamelynk,5.0,True,likely_available,True,growth_connection
flamemesh,5.0,True,likely_available,True,growth_connection
flamenect,5.0,True,likely_available,True,growth_connection
flourlynk,5.0,True,likely_available,True,growth_connection
flourmesh,5.0,True,likely_available,True,growth_connection
flournect,5.0,True,likely_available,True,growth_connection
forgenect,5.0,True,likely_available,True,growth_connection
fuelnect,5.0,True,likely_available,True,growth_connection
giglynk,5.0,True,likely_available,True,audience_connection
glowlynk,5.0,True,likely_available,True,growth_connection
glownect,5.0,True,likely_available,True,growth_connection
harborlynk,5.0,True,likely_available,True,growth_connection
harbornect,5.0,True,likely_available,True,growth_connection
ignitelynk,5.0,True,likely_available,True,growth_connection
ignitenect,5.0,True,likely_available,True,growth_connection
launchlynk,5.0,True,likely_available,True,growth_connection
launchnect,5.0,True,likely_available,True,growth_connection
liftnect,5.0,True,likely_available,True,growth_connection
livelynk,5.0,True,likely_available,True,audience_connection
lynkstage,5.0,True,likely_available,True,blend
nectlynk,5.0,True,likely_available,True,blend
nestnect,5.0,True,likely_available,True,growth_connection
orbitnect,5.0,True,likely_available,True,growth_connection
ownlynk,5.0,True,likely_available,True,audience_connection
peaklynk,5.0,True,likely_available,True,growth_connection
